.!bt   |   BitTorrent Incomplete Download file
.npf   |   Backup Now Image file
.npi   |   Source for DGEN.EXE intepreter (dBASE Application Generator)
.nra   |   Nero Audio-CD Compilation
.nrb   |   Nero CD-ROM Boot Compilation
.nrg   |   Norton Registration Entries
Nero CD-Image
IsoBuster file
NRG File Format
.nri   |   Nero ISO CD-ROM compilation
.nrl   |   iManage file
.nrw   |   Nero WMA Compilation file
Nikon RAW file
.nsc   |   Noder file (Polish)
Windows Media Station file
.nsf   |   Lotus Notes / Domino database
.nsi   |   Nullsoft Install System Script
.nst   |   Music (NoiseTracker)
.nt   |   Startup files (Windows NT)
.ntf   |   Lotus Notes / Domino template file
.nth   |   Nokia Theme file
.ntp   |   Neato CD Labels
.ntr   |   Executable ASCII text file (strip header and rename) (netrun31.zip)
.nts   |   Tutorial (Norton)
Executable ASCII text file (strip header and rename) (netsend1.zip)
.ntx   |   Index (Clipper 5)
.ntz   |   InVircible Directory Integrity Information
.nu4   |   Norton Utilities Root File (DLL) Symantec Corporation
.nuf   |   Message for new users on their 1st call (Procomm Plus)
.numbers   |   iWork Numbers Spreadsheet file
.nup   |   Program Component Update files
.nvc   |   Nero Vision Project file
.nvm   |   AOLpress Help file
.nwc   |   Noteworthy Composer song file
.nws   |   Info text file (latest news) (ASCII)
.nwr   |   New World Report Aegis/MSP Law Enforcement Records (New World Systems)
.nwt   |   New World Text Aegis/MSP Law Enforcement Records (New World Systems)
.nxt   |   Sound (NeXT format)
.nzb   |   NewsBin Index file
.o   |   Object file (unix – Atari – GCC)
.o$$   |   Outfile (Sprint)
.oaz   |   Fax (NetFax Manager)
.ob   |   Object cut/paste file (IBM LinkWay)
.obd   |   MS Office Binder
.obj   |   Object code (Intel Recolatable Object Module)
.obr   |   Object browser data file (Borland C++)
.obs   |   Script (ObjectScript)
.obv   |   Visual interface (ObjectScript)
.oca   |   Control Typelib Cache
.ocf   |   Object Craft File (Object Craft)
.ocm   |   AOL Advertising Control files
Internet Odyssey 2 Update
.ocp   |   Advanced Art Studio
Offline Commander Project file
.ocr   |   Incoming fax transcribed to text (FAXGrapper)
.oct   |   Radiance Octree Format
.ocx   |   OLE ActiveX custom control
.odf   |   Open Document Interchange
BattleZone Cartographers Guild file
Star Trek Armada Ship/Structure Infomation
.odg   |   OpenDocument Graphic file
.odl   |   Type library source (Visual C++)
.odp   |   OpenOffice Presentation file
.ods   |   OpenOffice Spreadsheet file
.odt   |   OpenOffice OpenDocument text document
.oeb   |   Outlook Express Backup Wizard
.oem   |   TextSetup OEM file
.ofc   |   Open Financial Connectivity file
.ofd   |   Form definition (ObjectView)
.off   |   Object File Format vector graphics
.ofm   |   Adobe font
.oft   |   MS Outlook Item Template
.ofx   |   Olicom Fax
Open Financial Exchange file
.ogg   |   Ogg Vorbis Codec Compressed WAV file
.ogm   |   Ogg Vorbis Compressed Video file
.ogv   |   Video Container file
.okt   |   Music (Oktalizer)
.olb   |   Object library (VAX)
.old   |   Backup file
.ole   |   Object Linking and Embedding Object
.oli   |   Text file (Olivetti)
.oma   |   OpenMG Music file
.omf   |   Open Media file
.omg   |   OpenMG Jukebox
.oms   |   Briggs Softworks Order Maven
Macintosh MP3 Music Format
Omega Downloader Configuration file
.ond   |   Lotus Notes-related file
.one   |   OneNote Document File
.ont   |   Bible file
.oom   |   Swap file (Shroom)
.opd   |   Omnipage file
.opf   |   Flip Album file
Open Packaging Format file
.opl   |   Psion Organiser Programming Language Source file
.opn   |   Active options (Exact)
.ops   |   Microsoft Office profile settings file
.opt   |   Optimize support file (QEMM)
.opw   |   Organization chart (Org Plus for Windows)
.opx   |   Inactive options (Exact)
.or2   |   Lotus Organizer 2 file
.or3   |   Lotus Organizer 97 file
.or4   |   Lotus Organizer file
.or5   |   Lotus Organizer file
.ora   |   Parameter file (Oracle)
.org   |   Calendar file (Lotus Organizer)
.osd   |   Open Software Description file
.oss   |   MS Office Saved Search
.ost   |   Microsoft Outlook Offline file
.otf   |   Open Type Format
.otl   |   Outline font description (Z-Soft Type Foundry)
.otx   |   Text file (Olivetti Olitext Plus)
.out   |   Output file
.ov1   |   Overlay file (part of program to be loaded when needed)
.ov2   |   Overlay file (part of program to be loaded when needed)
.ovd   |   Datafile (ObjectVision)
.ovl   |   Overlay file (part of program to be loaded when needed)
.ovr   |   Overlay file (part of program to be loaded when needed)
.ovw   |   Cool Edit Pro Overviewfile
Cubase .WAV File Image
DIANA Overview file
.ows   |   Web Studio 2 Project file
.oxt   |   Open Office Extension file
.p   |   Pascal source code file
Rea-C-Time application parameter file (ReaGeniX code generator)
Picture file (APPLAUSE)
.p16   |   Music (16 channels) (ProTracker Studio 16)
.p22   |   Patch file (Patch22)
.p65   |   Adobe Pagemaker v6.5
.p7m   |   PKCS #7 MIME Message
.pa   |   Print Artist
.pa1   |   Worktable (PageAhead)
.pab   |   Microsoft Outlook personal address book
.pac   |   Stad Image (graphics ?)
Package (SBStudio II)
.pack   |   Pack 2000 Compressed file
.pad   |   Keypad definition (Telemate)
.paf   |   PARIS audio format
Personal Ancestral file
.pages   |   Pages document
.pak   |   Compressed file archive created by PAK (pak251.exe)
.pal   |   Adobe Pagemaker Library Palette
Color Palette
Compressed File
Tree Professional Palm Creator file
.pan   |   Printer-specific file (copy to coreldrw.ink) (CorelDRAW)
.par   |   Parts application (Digitalk PARTS)
Parameter file (Fractint)
Permanent output file (Windows 3.x)
.pas   |   Pascal source code file
.pat   |   Hatch patterns (AutoCAD – Photostyler)
Vector fill files (CorelDRAW)
.pax   |   Pax Archive file
.pb   |   Fax (FAXability Plus)
Phonebook (WinFax Pro)
Setup file (PixBase)
.pb1   |   Document (First Publisher for Windows)
.pba   |   Powerbasic BASIC source code (Genus)
.pbd   |   Phone book (FaxNOW! – Faxit)
.pbf   |   Turtle Beach Pinnacle Bank file
Grand Prix Legends BMAP file
PBook E-book Format (renamed ZIP file)
Portable Bitmap Format file
.pbi   |   Powerbasic include file (Genus)
Profiler Binary Input (MS Source Profiler)
.pbk   |   Microsoft XP Remote Access Phonebook file
.pbl   |   Powerbasic library (Genus)
.pbm   |   Pbm Portable Bit Map graphics
Planar bitmap graphics (XLib)
.pbo   |   Profiler Binary Output (MS Source Profiler)
.pbr   |   Microsoft Publisher backup file
.pbt   |   Profiler Binary Table (MS Source Profiler)
.pc   |   Text file containing IBM PC specific info
.pc3   |   Custom palette (Harvard Graphics 3.0)
.pc8   |   Ascii text IBM8 character set (NewWave Write)
.pca   |   Cash Register Express program
.pcb   |   Broderbund Print Shop Business Card
Ivex Winboard Design file
MS PowerPoint Application Data file
Protel Technology Advanced PCB Design
.pcc   |   Cutout picture vector graphics (PC Paintbrush)
.pcd   |   Graphics (Kodak PhotoCD)
Microsoft Visual Test compiled script
.pcf   |   Profile Configuration file
Profiler Command File (MS Source Profiler)
.pch   |   Patch file
Precompiled header (MS C/C++)
.pcj   |   Multimedia authoring tool graphics (IBM’s Linkaway-Live)
.pck   |   Received Package file
Pickfile (Turbo Pascal)
.pcl   |   HP-PCL graphics data (HP Printer Control Language)
.pcm   |   Plasmacam CAD/CAM system file
.pcs   |   PICS Animation
.pct   |   Bitmap Graphic
Honeywell GUS Display Builder
Macintosh Quickdraw/PICT Drawing
NIST IHDR
.pcw   |   Text file (PC Write)
.pcx   |   Bitmap graphics (PC Paintbrush)
.pd   |   SynerGEE Stoner software files (compressible pipe flow program)
.pda   |   Bitmap graphics
.pdb   |   Data (TACT)
.pdc   |   Personal Database Creator file
.pdd   |   Adobe PhotoDeluxe Image
.pde   |   Principalm Data Extract files
Processing Environment text files
.pdf   |   Adobe Portable Document Format
Package Definition File
Graphics file (ED-SCAN 24bit format)
.pdg   |   Printshop Deluxe files
.pdl   |   Project Description Language file (Borland C++ 4.5)
.pdr   |   Port or printer driver
.pds   |   Incredimail
Source Code File
Telsis HiCall Program File
Pds graphics
Planetary Data System
Pldasm source code file (hardware assembly)
Print Shop Graphic
.pdt   |   ProCite Primary Database
VersaPro Compiled Block
.pdv   |   Printer driver (Paintbrush)
.pdw   |   Document (Professional Draw)
.pdx   |   Adobe Acrobat Index file
.pe4   |   Photo Explorer Thumbnail
.pea   |   PeaZip Compressed FileArchived files
.peb   |   Program Editor bottom overflow file (WordPerfect Library)
.ped   |   Program Editor delete save (WordPerfect Library)
.pem   |   Program Editor macro (WordPerfect Library) or Root Certificate
Privacy Enhanced Mail Certificate file
.peq   |   Program Editor print queue file (WordPerfect Library)
.per   |   Program Editor resident area (WordPerfect Library) (vakioalue)
.pes   |   Program Editor work space file (WordPerfect Library)
.pet   |   Program Editor top overflow file (WordPerfect Library)
.pf   |   Windows Prefetch file
Monitor/printer profile file
.pfa   |   Type 3 font file (unhinted PostScript font)
.pfb   |   Type 1 PostScript font file
.pfc   |   Text file (First Choice)
.pfg   |   jEEPers file
.pfk   |   Programmable function keys (XTreePro)
.pfl   |   Family Lawyer Data file
.pfm   |   Windows Type 1 font metric file
.pfs   |   Database (PFS:FILE) – text file (PFS:Write)
.pft   |   Printer font (ChiWriter)
.pg   |   Pagefox File
Page cut/paste file (IBM LinkWay)
.pgi   |   Printer Graphics File device driver (PGRAPH library)
.pgm   |   Portable Grayscale bitMap graphics
Program (Signature)
.pgp   |   Support file (Pretty Good Privacy RSA System)
.pgs   |   Manual page (man4dos)
.ph   |   Optimized .goh file (Geoworks)
Perl header file
Phrase-table (MS C/C++)
.phb   |   NewLeaf PhraseBook
ClustaW Tree file
TreeView file
PhoneB Phonebook file
.phn   |   Phone list (UltraFax – QmodemPro)
.php   |   PHP Script
MS Picture It! Publishing Project File
PhotoParade
.pho   |   Phone database (Metz Phone for Windows)
.phr   |   Phrases (LocoScript)
.phtml   |   PHP Script
.pic   |   Pixar picture file (SDSC Image Tool)
Bitmap graphics (Macintosh b&w PICT1 – color PICT2)
Bitmap graphics (many eg. Lotus 1-2-3 – PC Paint)
.pif   |   Program Information File (Windows 3.x)
Vector graphics GDF format (IBM mainframe computers)
Shortcut to MS-DOS program
.pim   |   PIM Archive file
.pip   |   Personalized menu and toolbar (MS Office)
.pit   |   Compressed Mac file archive created by PACKIT (unpackit.zoo)
.pix   |   Alias image file (SDSC Image Tool)
.pj64   |   Project 64 game files.mswmm Windows Movie Maker Project file
.pj   |   Project (CA-SuperProject)
.pjt   |   Project memo (FoxPro)
.pjx   |   Project (FoxPro)
.pk   |   Packed bitmap font bitmap file (TeX DVI drivers)
.pk3   |   American McGee Alice Archive
Return to Castle Wolfenstein file
Heavy Metal: F.A.K.K.2 Archive
Quake 3 Arena Archive (renamed zip file)
.pka   |   Compressed file archive created by PKARC
.pkd   |   Top Secret Crypto Gold file
.pkg   |   Installer script (Next)
.pkk   |   Private Key file
.pkt   |   Packet Tracer Network Simulation file
.pl   |   Perl source code file
Prolog source code file
Property List font metric file (TeX)
Palette (Harvard Graphics)
.pl1   |   Room plan (3D Home Architect)
.pl3   |   Chart palette (Harvard Graphics 3.0)
.plb   |   Library (FoxPro)
.plc   |   Add-in file (functions – macros – applications) (Lotus 1-2-3)
.pll   |   Pre-linked library (Clipper 5)
.pln   |   Spreadsheet (WordPerfect for Win)
.plr   |   Descent Pilot file
Player file
.pls   |   DisorderTracker2 Sample
WinAmp MPEG PlayList file
Shoutcast file
MYOB Data file
.plt   |   AutoCAD HPGL Vector Graphic Plotter file
Bentley’s CAD MicroStation Driver Configuration for Plotting
Clipper 5 Pre-linked Transfer file
Gerber Sign-making Software file
HP Graphics Language
.pmv   |   Pegasus Mail Filter Rule file
.pmx   |   Pegasus Mail file
.pn3   |   Printer device driver (Harvard Graphics 3.0)
.pnf   |   Precompiled Setup Information (Temporary file seen during installs)
.png   |   Bitmap graphics (Portable Network Graphics)
.pnm   |   Pbm Portable aNy Map (PNM) graphics
.pnt   |   Macintosh painting
Qwk reader pointer file (MarkMail 2.x)
.pod   |   OPENPROJ Project file
.poh   |   Optimized .goh file (Geoworks)
.poi   |   Point of interest file
.pop   |   Messages index (PopMail)
Pop-up menu object (dBASE Application Generator)
.pos   |   ProCite Output Styles
QuickPOS IIF file
.pot   |   PowerPoint template
.potx   |   PowerPoint Open XML Template file
.pov   |   Raytraced scene description file (Persistence Of Vision)
.pow   |   Chord chart (PowerChords)
.pp   |   Free Pascal Source Code file
Compressed Amiga file archive created by POWERPACKER
.ppa   |   PowerPoint Add-in
.ppb   |   Button bar for Print Preview (WordPerfect for Win)
.ppd   |   PostScript Printer Description (Acrobat)
.ppf   |   Turtle Beach Pinnacle Program file
Jasc Paint Shop Pro 7 Preset file
Micrografx Picture Publisher file
PlayStation Patch file
.ppg   |   MS PowerPoint Ppresentation
Professor Franklin’s Photo Print Gold
.ppl   |   Polaroidpaletteplus ColorKey device driver (Harvard Graphics 3.0)
.ppm   |   Portable Pixel Map graphics
.ppo   |   Pre-processor output (Clipper 5)
.ppp   |   Publication (PagePlus)
Image files used in PagePlus SE
.pps   |   PowerPoint Slideshow
Storyboard (Personal Producer)
.ppsx   |   MS Office PowerPoint Slide Show file
.ppt   |   General file extension (PowerPoint)
.ppz   |   PowerPoint Packaged Presentation
.pqa   |   Palm Query Application File (database for wireless access)
.pqi   |   Power Quest Drive imaging
.pr2   |   Presentation (Aldus Persuasion 2.x)
.pr2   |   Printer driver (dBASE IV)
.pr3   |   Postscript printer driver (dBASE IV)
Presentation (Aldus Persuasion 3.x)
.prc   |   Corel Presentation file
Palmpilot resource file
Picture Gear Pocket
.prd   |   Printer driver (many)
.pre   |   Presentation (Freelance Graphics)
Settings (Programmer’s WorkBench – MS C/C++)
.prf   |   Pixel Run Format graphics (Improces – Fastgraph)
Printer driver (dBASE IV)
Profiler output
.prg   |   Program (Atari)
Program source (dBASE IV – FoxPro – Clipper 5 – dBFast)
.pri   |   Printer definitions (LocoScript)
.prj   |   Project
.prm   |   Parameters
MYOB Premier file extension
.prn   |   DataCAD Windows Printer file
HP Printer Control Language
PostScript file
Printer Text file
XYWrite Printer Driver
.pro   |   Prolog source code file
Graphics profile file (DOS)
.prs   |   Printer Resource eg. fonts (WordPerfect for Win)
Presentation (Harvard Graphics Win)
Procedure (dBASE IV)
.prt   |   CADKEY Part file
Printer Configuration
Printer driver (Dr.Halo)
Printer-formatted file
Pro/ENGINEER Model file
Process Revolution Template file
SCEdit Part file
Unigraphics Part file
.prx   |   Windows Media Settings file
Compiled program (FoxPro)
.prz   |   Freelance Graphics 97 file
.ps   |   PostScript file (text/graphics) (ASCII)
.ps2   |   PostScript Level 2 file
.psb   |   Pinnacle Sound Bank
Project Scheduler Configuration file
.psd   |   Adobe Photoshop file
Design II for Windows
.pse   |   Bitmap graphics (IBM printer Page SEgment)
.psf   |   Photoshop Proof Settings file
Outline PostScript printer font (ChiWriter)
PrintShop Mail Favorites
.psi   |   PSION A-law Audio
File extenstion for Pierresoft Adesign Image
.psm   |   Music (MASI – ProTracker)
PrintShop Mail
Symbol table of IDE (Turbo Pascal)
.psmdoc   |   PrintShop Mail
.psp   |   PaintShop Pro Image
Procedure (Prodea Synergy)
Project Scheduler Planning file
.psr   |   Project Scheduler Resource file
.pst   |   MS Outlook personal folder
.psw   |   WinXP Backup Password File
.pt3   |   Device driver (Harvard Graphics 3.0)
Template (PageMaker 3)
.pt4   |   Template (PageMaker 4)
.ptb   |   Script (PubTech BatchWorks)
.ptm   |   Macro (PubTech BatchWorks)
An extension used in PUNCH! home design software
Polynomial Texture Map
.ptn   |   PaperPort Thumbnail Images
.ptp   |   Act! Modem Sync file
.ptr   |   Qwk reader pointer file (QMail)
.pts   |   Infinity Engine Game Tileset
Halflife Map Creation Debug file
.ptx   |   Real Legal E-Transcript
.pub   |   Page template (MS Publisher)
Public key ring file (Pretty Good Privacy RSA System)
Publication (Ventura Publisher – 1st Publisher)
.put   |   Compressed file archive created by PUT (put334.zip)
.puz   |   Across Lite Crossword Puzzle
Packed MS Publisher file
.pva   |   Hauppauge DVB-Software
.pvd   |   Script (Instalit)
.pvm   |   Parallel Virtual Machine software library
.pvl   |   Library (Instalit)
.pvt   |   Local Fidonet pointlist
.pw   |   Text file (Professional Write)
.pwd   |   Pocket Word document
AutoCAD Password file
.pwf   |   ProCite Workforms
.pwi   |   Pocket Word document
.pwl   |   Password List
.pwm   |   WebMoney Purse file
.pwp   |   Text document (Professional WritePlus)
.pwz   |   MS Powerpoint Wizard
.px   |   Primary database index (Paradox)
.pxl   |   Pocket Excel Spreadsheet
.pxv   |   Modelworks Project File used in JPad Pro and SitePad Pro
.py   |   Python script file
.pyc   |   Compiled PYTHON script file
.pyd   |   Binary Python Extension on Windows
.pyw   |   Python GUI Script on Windows
.pz2   |   Curious Labs Poser Pose file
.pz3   |   Curious Labs Poser Document
.pza   |   MGI PhotoSuite II/III/4 Album file
.pzd   |   Default settings (Pizazz Plus)
.pzl   |   Jigs@w Puzzle
Lode Runner Game Puzzle
Puzzle
.pzo   |   Overlay file (Pizazz Plus)
.pzp   |   MGI PhotoSuite II/III/4 Project file
Palette (Pizazz Plus)
.pzs   |   Settings (Pizazz Plus)
.pzt   |   Transfer file (Pizazz Plus)
.pzx   |   Swap file (Pizazz Plus)
.q05   |   Intuit Canada Quick tax file, tax return file
.q9q   |   BladePro Graphic Plugin file
.qad   |   QuickArt database
.qag   |   Quick Access Group (Norton Desktop)
.qap   |   Application (Omnis Quartz)
.qbb   |   QuickBooks for Windows Backup file
.qbe   |   Saved query (Query By Example) (dBASE IV – Quattro Pro)
.qbk   |   Intuit Canada Quick tax file, backup copy of tax return file
.qbl   |   Business Lawyer Document
.qbo   |   Compiled query (dBASE IV)
.qbr   |   QuickBooks Report
.qbw   |   Spreadsheet (QuickBooks for Windows)
.qcn   |   Qualcomm Phonebook file
.qcp   |   Qualcomm PureVoice File
Contains data frames generated by QCELP 13K vocoder
.qd0   |   Data file – segment 10 (Omnis Quartz)
.qd1   |   Data file – segment 1 (Omnis Quartz)
.qd2   |   Data file – segment 2 (Omnis Quartz)
.qd3   |   Data file – segment 3 (Omnis Quartz)
.qd4   |   Data file – segment 4 (Omnis Quartz)
.qd5   |   Data file – segment 5 (Omnis Quartz)
.qd6   |   Data file – segment 6 (Omnis Quartz)
.qd7   |   Data file – segment 7 (Omnis Quartz)
.qd8   |   Data file – segment 8 (Omnis Quartz)
.qd9   |   Data file – segment 9 (Omnis Quartz)
.qdat   |   Quicktime Installer Cache
.qdb   |   Quicken data file
.qdf   |   Quicken for Windows data file
.qdt   |   Quark Xpress Dictionary file
Question Mark Designer Test file
QuickBooks UK Accountancy Data file
Quicken Data file
.qdv   |   Graphics (Steve Blackstock Giffer)
.qe4   |   Kingpin Project file
.qef   |   Query file (Q+E for MS Excel)
.qel   |   Quicken Electronic Library file
.qfl   |   Quicken Family Lawyer file
.qfx   |   Quicken Financial Exchange file
Fax (QuickLink)
.qhf   |   QIP PDA History file
.qic   |   Backup set for Microsoft Backup
.qif   |   Quicken Interchange Format
Quicktime Image
.qix   |   NovaStar Backup file
Quicken for DOS v.2 data file
.qlb   |   Quick library (MS C/C++)
.qlc   |   Data (PostScript help file) atmfonts.qlc
.qlf   |   Family Tree Maker Genealogy file
.qlp   |   Printer driver (QuickLink)
.qm4   |   Options or services file (QMail 4.x Mail Door)
.qm   |   Virtual Box Language file
.qml   |   Quick Markup Language file
.qph   |   Intuit Quicken Price History file
.qpr   |   Generated query program (FoxPro)
Print queue device driver (OS/2)
.qpw   |   Quattro Pro Project file
.qpx   |   Compiled query program (FoxPro)
.qrp   |   QuickReport Report files
Centura Report Builder file
Liberty for Windows report file
.qrs   |   Equation Editor support file (WordPerfect for Win)
.qrt   |   Qrt ray tracing graphics
.qru   |   SQL Query file
.qry   |   Query (dBASE IV)
.qsd   |   Quicken for Windows data file
.qsi   |   Quintessential Stereotaxic Injector Commander log files
.qst   |   Quake Spy Tab file
.qt   |   Quicktime movie (animation)
.qtc   |   Incite Media Assistant file
.qtk   |   Apple QuickTake file format for Windows
.qtl   |   Quick Time Media Link file
.qtp   |   QuickTime Preferences
Astra Quicktest Report
.qts   |   Macintosh PICT image
QuickTime image
.qtx   |   QuickTime image
.que   |   CuteFTP Queue file
Task Scheduler Queue Object
.qvm   |   Quake file
.qvs   |   Casio Digital Camera file
.qw   |   Symantec Q&A Write file
.qwk   |   QWK reader message file
.qxd   |   QuarkXPress document file format
.qxl   |   Element library (QuarkXPress)
.qxp   |   QuarkXPress project file
.qxt   |   Template file (QuarkXpress)
.r   |   Ratfor (FORTRAN preprosessor) file
.r33   |   Train Simulator Game file
.r8   |   Raw graphics (one byte per pixel) plane one (PicLab)
.r8p   |   Pcl 4 bitmap font file (Intellifont)
.ra   |   Music (RealAudio)
.ram   |   Ramfile (RealAudio)
.rar   |   Compressed file archive created by RAR (rar1_402.exe)
.ras   |   Sun Rasterfile graphics
.rat   |   Datafile (RATS)
.raw   |   Raw RGB 24-bit graphics
.rb   |   Ruby on Rails class file
.rbf   |   Windows Installer Rollback file
Datafile (Rbase)
.rbn   |   Richard’s Bridge Notation
Real Sound file
.rbs   |   Windows Installer Rollback Script file
.rbx   |   Format for playing RapidPlayer v3.0 ActiveX Control in Explorer
.rc   |   Resource script (Visual C/C++ – Borland C++)
Configuration (emacs)
.rcf   |   Rhapsody Storage file
.rcg   |   Netscape newsgroup file (netsc.rcg)
.rcp   |   Recomposer’s MIDI Sequencer Music file
.rcx   |   Lego Mindstorms Robotics Invention System
.rdb   |   TrueVector Rules database
ZoneAlarm Rules database
.rdf   |   Compiled UIC source code (Geoworks UI Compiler)
.rdi   |   Device-independent bitmap file (RIFF RDIB format)
.rds   |   Ray Dream Studio file
.rdx   |   Datafile (Reflex)
.rec   |   Datafile (EpiInfo)
Record file (Sprint)
Recorded macro file (Windows 3.x)
.red   |   Path info (Clarion Modula-2)
.ref   |   Cross-reference
.reg   |   OLE Registration (Windows 3.x)
Registration (Corel programs)
.rels   |   Microsoft Office 2007 Relationships
.rem   |   Encrypted Data file
Remarks
.rep   |   QWK reader reply file
Report (Report Designer – CodeReporter – DataBoss)
.req   |   Request
.res   |   Compiled resource (MS C/C++ – Borland C++)
Dbase resources (dBASE IV)
.rev   |   Revision file (Geoworks)
.rex   |   Rexx source code file
.rex   |   Report definition (Oracle)
.rez   |   Resource file
.rf   |   Sun raster graphics
.rfl   |   Roll Forward Log file
.rft   |   Dca/RFT Revisable Format Text file (IBM DisplayWrite 4.0-5.1)
.rgb   |   Sgi RGB image file (SDSC Image Tool)
.rgi   |   RealArcade Game Installer
.rgp   |   RealArcade Game Package
.rgs   |   RealArcade Game Installer
.rgx   |   Symbol tables etc. info (ReaGeniX code generator)
.rh   |   Resource header file (Borland C++ 4.5)
.rhp   |   Rhapsody Notation Program File Format
.ri   |   Data (Lotus 1-2-3)
.rib   |   Graphics in Renderman format (3DReality)
.rlib   |   Rust Language Library File
.ric   |   Fax (Ricoh)
.rif   |   Riff bitmap graphics (Fractal Design Painter)
.rip   |   Graphics (Remote Access)
.rix   |   Bitmap graphics (ColorRIX VGA Paint)
.rl4   |   Bitmap graphics
.rl8   |   Bitmap graphics
.rla   |   Wavefront raster image file (SDSC Image Tool)
.rlb   |   Data (Harvard Graphics Win) hgw.rlb
.rlc   |   Graphics 1bit/pixel scanner output
.rle   |   Utah Run Length Encoded raster graphic (SDSC Image Tool)
.rlz   |   Realizer source code file (CA-Realizer)
.rm   |   RealMedia file
.rmf   |   Rich Map Format
Rich Music format
.rmi   |   Midi file (RIFF RMID format)
.rmj   |   Real Jukebox file
.rmk   |   Makefile (Clipper RMake)
.rmm   |   RealPlayer file
.rmr   |   Resume Maker file
.rms   |   Secure Real Media file
.rmvb   |   Video file for Realplayer
.rm   |   RealMedia
.rmvb   |   Real Media video file
.rmx   |   RealJukeBox MP3 file
.rn   |   Xpl program for Nota Bene users
.rnd   |   Rendering Slide (AutoCAD AutoShade)
.roi   |   Actuate ReportBlast file
.rno   |   Runoff file (VAX)
.rol   |   Fm music Adlib Music File (Roland)
.rpd   |   Database (RapidFile)
RosaPro file
RPV Printing System file
.rpl   |   Text document (Replica)
.rpm   |   RedHat Package Manager
RealMedia Player file
RunPaint Multicolor Graphic
.rps   |   Propellerhead Software Reason Song
.rpt   |   Report
.rrd   |   ERDAS Imagine file
.rs   |   Data file (Amiga Resource – Reassembler) or Rust source file
.rs_   |   Resource fork of a Macintosh file (Mac-ette)
.rsb   |   Red Storm Image Format
.rsc   |   Resource file
.rsm   |   ReliaSoft MPC 3
RuneSword II Game
WinWay Deluxe Resume file
.rsp   |   Response file
.rss   |   Rockwell Logix PLC file
.rst   |   ANSYS Results
ReliaSoft BlockSim
.rsw   |   ReliaSoft BlockSim
.rtc   |   Live Meeting Connection file
.rtf   |   Rich Text Format text file (many – Windows Word)
Windows Help file script
.rtl   |   Run Time Library (NU 7.0)
Text file
.rtp   |   Turbo Tax Update file
RTPatch software update package data file
.rts   |   Runtime library file (CA-Realizer)
.rtx   |   Reliacast Audience Manager Turnstile
Mobile Phone Ringtone
.ru   |   JavaSoft Library file
.rul   |   InstallShield
.run   |   RunScanner Saved file
.rv   |   RealVideo Video file
.rvb   |   Rhinoscript file
.rvp   |   MS Scan Configuration file
.rvw   |   Review
.rwg   |   Random Word Generator List file
.rws   |   Resource Workshop data file (Borland C++)
.rwx   |   Script (RenderWare)
.rwz   |   MS Outlook Rules Wizard file
.rzk   |   Red Zion File Crypt (password file)
.rzr   |   in-sync Speed Razor Project file
.rzx   |   in-sync Speed Razor Project file
Red Zion File Crypt (encrypted file)
.s   |   Assembly source code file (Unix)
Scheme source code file
.s$$   |   Temporary sort file (Sprint)
.s3m   |   Music (16 channels) (Scream Tracker 3.0)
.sac   |   Shared Asset Catalog (Adobe)
.saf   |   MusicMatch Jukebox Secure Audio file
Safe File Encryption (Helix Software)
Twelve Ghosts file
.sah   |   SETI@Home data file
.sal   |   Datafile (SORITEC)
.sam   |   Text file (Samna – Lotus Ami/Ami Pro)
.sar   |   Compressed file archive created by SAR (sar1.zip)
.sas   |   SAS System program
.sas7bcat   |   SAS System file catalog
.sas7bdat   |   SAS System data set
.sas7bndx   |   SAS System index
.sas7bpgm   |   SAS System Stored Program
.sas7bvew   |   SAS Data Set View
.sas7mdb   |   SAS System multidimensional database
.sat   |   Standard ACIS Text file
.sav   |   Backup file (saved file)
Configuration
Saved game situation (eg. NetHack)
.sb   |   Audio file (signed byte)
.sbc   |   Sagebrush Corporation Spectrum CIRC/CAT Report
.sbd   |   Storyboard (Storyboard Editor)
.sbi   |   Sound Blaster Instrument file (Creative Labs)
.sbj   |   Micrografx Clipart or Palette file
.sbn   |   ArcView file (GIS)
.sbp   |   Dml program (Superbase 4)
.sbr   |   Support file (Source Browser)
.sbs   |   SWAT HRU Output file
.sbt   |   Notes related to record (Suberbase 4 Windows)
.sbx   |   ArcView file (GIS)
.sc   |   Pal script (Paradox)
Display driver (Framework II)
.sc3   |   Renamed dBASE III screen mask file (dBASE IV)
Screen device driver (Harvard Graphics 3.0)
.sca   |   Datafile (SCA)
.scc   |   Text file
.scd   |   Scodl Scan Conversion Object Description Language graphics
.scf   |   Multimedia show (ScoreMaker)
Spelling checker configuration (Symphony)
Windows Explorer command file
.sch   |   Project schedule (Schedule Publisher)
Schematics file (ORCAD)
.sci   |   System Configuration Information
Fax (SciFax)
.scm   |   Scheme source code file
ScreenCam Movie file
SchematicMaker file
.scn   |   Screen file (Kermit)
Pinnacle Studio Scene file
.sco   |   High score
.scp   |   Script (BITCOM)
.scr   |   Debug source code file (DOS Debug)
Screen – screen snapshot (dBASE IV – Procomm Plus)
Screen font (LocoScript)
Screen saver (Windows 3.x)
Script (Kermit – 1st Reader)
.sct   |   Screen memo (FoxPro)
Windows Script Component
.scx   |   Bitmap graphics (ColorRIX)
Chart (Stanford Chart)
Screen (FoxPro)
